Year,Industry_code_NZSIOC,Value
2017,AA14,1371
2017,AA14,8
2017,AA14,594
2017,AA14,628
2017,AA14,290
2017,AA14,6381
2017,AA14,1672
2017,AA14,3750
2017,AA14,958
2017,AA14,6381
2017,AA14,2723
2017,AA14,1638
2017,AA14,2020
2017,AA14,361100
2017,AA14,49900
2017,AA14,102
2017,AA14,64
2017,AA14,11
2017,AA14,5
2017,AA14,43
2017,AA211,6036
2017,AA211,4671
2017,AA211,38
2017,AA211,3
2017,AA211,1324
2017,AA211,3941
2017,AA211,184
2017,AA211,18
2017,AA211,156
2017,AA211,352
2017,AA211,0
2017,AA211,3051
2017,AA211,180
2017,AA211,191
2017,AA211,218
2017,AA211,2122
2017,AA211,19559
2017,AA211,2141
2017,AA211,3765
2017,AA211,13654
2017,AA211,19559
2017,AA211,12647
2017,AA211,2531
2017,AA211,4382
2017,AA211,1239800
2017,AA211,435800
2017,AA211,85
2017,AA211,76
2017,AA211,17
2017,AA211,11
2017,AA211,65
2017,AA21,6036
2017,AA21,4671
2017,AA21,38
2017,AA21,3
2017,AA21,1324
2017,AA21,3941
2017,AA21,184
2017,AA21,18
2017,AA21,156
2017,AA21,352
2017,AA21,0
2017,AA21,3051
2017,AA21,180
2017,AA21,191
2017,AA21,218
2017,AA21,2122
2017,AA21,19559
2017,AA21,2141
2017,AA21,3765
2017,AA21,13654
2017,AA21,19559
2017,AA21,12647
2017,AA21,2531
2017,AA21,4382
2017,AA21,1239800
2017,AA21,435800
2017,AA21,85
2017,AA21,76
2017,AA21,17
2017,AA21,11
2017,AA21,65
2017,AA31,1278
2017,AA31,1228
2017,AA31,20
2017,AA31,30
2017,AA31,1151
2017,AA31,20
2017,AA31,24
2017,AA31,58
2017,AA31,178
2017,AA31,0
2017,AA31,797
2017,AA31,75
2017,AA31,138
2017,AA31,168
2017,AA31,158
2017,AA31,1964
2017,AA31,490
2017,AA31,531
2017,AA31,943
2017,AA31,1964
2017,AA31,856
2017,AA31,486
2017,AA31,623
2017,AA31,444900
2017,AA31,55100
2017,AA31,101
2017,AA31,66
2017,AA31,19
2017,AA31,8
2017,AA31,44
2017,AA32,3786
2017,AA32,3700
2017,AA32,17
2017,AA32,5
2017,AA32,64
2017,AA32,3428
2017,AA32,97
2017,AA32,15
2017,AA32,241
2017,AA32,1107
2017,AA32,0
2017,AA32,1950
2017,AA32,19
2017,AA32,224
2017,AA32,242
2017,AA32,376
2017,AA32,5219
2017,AA32,1286
2017,AA32,3074
2017,AA32,859
2017,AA32,5219
2017,AA32,2058
2017,AA32,1433
2017,AA32,1728
2017,AA32,143500
2017,AA32,14300
2017,AA32,90
2017,AA32,73
2017,AA32,18
2017,AA32,7
2017,AA32,39
2017,AA,40336
2017,AA,37343
2017,AA,511
2017,AA,8
2017,AA,2474
2017,AA,34128
2017,AA,2882
2017,AA,462
2017,AA,1877
2017,AA,4910
2017,AA,1
2017,AA,23628
2017,AA,369
2017,AA,14164
2017,AA,14629
2017,AA,6673
2017,AA,166998
2017,AA,31108
2017,AA,95075
2017,AA,40814
2017,AA,166998
2017,AA,78865
2017,AA,28592
2017,AA,59541
2017,AA,362400
2017,AA,59900
2017,AA,109
2017,AA,58
2017,AA,8
2017,AA,4
2017,AA,47
2017,BB,5511
2017,BB,4858
2017,BB,C
2017,BB,C
2017,BB,C
2017,BB,5224
2017,BB,210
2017,BB,31
2017,BB,982
2017,BB,614
2017,BB,15
2017,BB,2658
2017,BB,730
2017,BB,290
2017,BB,243
2017,BB,239
2017,BB,38337
2017,BB,C
2017,BB,C
2017,BB,797
2017,BB,189
2017,BB,2884
2017,BB,38337
2017,BB,C
2017,BB,C
2017,BB,4692
2017,BB,1113600
2017,BB,48300
2017,BB,C
2017,BB,C
2017,BB,C
2017,BB,1
2017,BB,C
2017,CC151,6220
2017,CC151,240
2017,CC151,5833
2017,CC151,35
2017,CC151,2
2017,CC151,111
2017,CC151,5610
2017,CC151,111
2017,CC151,1112
2017,CC151,180
2017,CC151,619
2017,CC151,3
2017,CC151,180
2017,CC151,3370
2017,CC151,37
2017,CC151,1597
2017,CC151,1599
2017,CC151,612
2017,CC151,8692
2017,CC151,3371
2017,CC151,3638
2017,CC151,433
2017,CC151,95
2017,CC151,1684
2017,CC151,8692
2017,CC151,4156
2017,CC151,2158
2017,CC151,2379
2017,CC151,634600
2017,CC151,62500
2017,CC151,156
2017,CC151,82
2017,CC151,25
2017,CC151,15
2017,CC151,7
2017,CC151,48
2017,CC15,6220
2017,CC15,240
2017,CC15,5833
2017,CC15,35
2017,CC15,2
2017,CC15,111
2017,CC15,5610
2017,CC15,111
2017,CC15,1112
2017,CC15,180
2017,CC15,619
2017,CC15,3
2017,CC15,180
2017,CC15,3370
2017,CC15,37
2017,CC15,1597
2017,CC15,1599
2017,CC15,612
2017,CC15,8692
2017,CC15,3371
2017,CC15,3638
2017,CC15,433
2017,CC15,95
2017,CC15,1684
2017,CC15,8692
2017,CC15,4156
2017,CC15,2158
2017,CC15,2379
2017,CC15,634600
2017,CC15,62500
2017,CC15,156
2017,CC15,82
2017,CC15,25
2017,CC15,15
2017,CC15,7
2017,CC15,48
2017,CC211,1869
2017,CC211,318
2017,CC211,1483
2017,CC211,4
2017,CC211,1
2017,CC211,64
2017,CC211,1760
2017,CC211,20
2017,CC211,5
2017,CC211,34
2017,CC211,319
2017,CC211,0
2017,CC211,245
2017,CC211,1095
2017,CC211,42
2017,CC211,339
2017,CC211,321
2017,CC211,92
2017,CC211,1312
2017,CC211,754
2017,CC211,340
2017,CC211,49
2017,CC211,28
2017,CC211,217
2017,CC211,1312
2017,CC211,590
2017,CC211,486
2017,CC211,235
2017,CC211,316700
2017,CC211,15500
2017,CC211,155
2017,CC211,89
2017,CC211,23
2017,CC211,16
2017,CC211,7
2017,CC211,45
2017,CC212,512
2017,CC212,77
2017,CC212,432
2017,CC212,1
2017,CC212,0
2017,CC212,1
2017,CC212,470
2017,CC212,5
2017,CC212,2
2017,CC212,8
2017,CC212,139
2017,CC212,0
2017,CC212,43
2017,CC212,268
2017,CC212,3
2017,CC212,128
2017,CC212,133
2017,CC212,46
2017,CC212,368
2017,CC212,255
2017,CC212,71
2017,CC212,19
2017,CC212,13
2017,CC212,43
2017,CC212,368
2017,CC212,144
2017,CC212,158
2017,CC212,66
2017,CC212,152300
2017,CC212,13700
2017,CC212,162
2017,CC212,78
2017,CC212,44
2017,CC212,32
2017,CC212,13
2017,CC212,39
2017,CC21,2381
2017,CC21,395
2017,CC21,1915
2017,CC21,5
2017,CC21,1
2017,CC21,65
2017,CC21,2230
2017,CC21,25
2017,CC21,8
2017,CC21,42
2017,CC21,458
2017,CC21,0
2017,CC21,289
2017,CC21,1364
2017,CC21,45
2017,CC21,466
2017,CC21,454
2017,CC21,138
2017,CC21,1680
2017,CC21,1009
2017,CC21,411
2017,CC21,67
2017,CC21,42
2017,CC21,260
2017,CC21,1680
2017,CC21,735
2017,CC21,643
2017,CC21,302
2017,CC21,257000
2017,CC21,14900
2017,CC21,157
2017,CC21,86
2017,CC21,27
2017,CC21,19
2017,CC21,8
2017,CC21,44
2017,CC311,5208
2017,CC311,174
2017,CC311,4954
2017,CC311,29
2017,CC311,0
2017,CC311,51
2017,CC311,4904
2017,CC311,42
2017,CC311,11
2017,CC311,135
2017,CC311,945
2017,CC311,0
2017,CC311,116
2017,CC311,3600
2017,CC311,55
2017,CC311,522
2017,CC311,596
2017,CC311,379
2017,CC311,4649
2017,CC311,1754
2017,CC311,1353
2017,CC311,206
2017,CC311,105
2017,CC311,1542
2017,CC311,4649
2017,CC311,2422
2017,CC311,1293
2017,CC311,934
2017,CC311,306800
2017,CC311,22300
2017,CC311,136
2017,CC311,90
2017,CC311,33
2017,CC311,16
2017,CC311,8
2017,CC311,52
2017,CC31,5208
2017,CC31,174
2017,CC31,4954
2017,CC31,29
2017,CC31,0
2017,CC31,51
2017,CC31,4904
2017,CC31,42
2017,CC31,11
2017,CC31,135
2017,CC31,945
2017,CC31,0
2017,CC31,116
2017,CC31,3600
2017,CC31,55
2017,CC31,522
2017,CC31,596
2017,CC31,379
2017,CC31,4649
2017,CC31,1754
2017,CC31,1353
2017,CC31,206
2017,CC31,105
2017,CC31,1542
2017,CC31,4649
2017,CC31,2422
2017,CC31,1293
2017,CC31,934
2017,CC31,306800
2017,CC31,22300
2017,CC31,136
2017,CC31,90
2017,CC31,33
2017,CC31,16
2017,CC31,8
2017,CC31,52
2017,CC321,3214
2017,CC321,C
2017,CC321,3009
2017,CC321,2
2017,CC321,0
2017,CC321,C
2017,CC321,3174
2017,CC321,13
2017,CC321,9
2017,CC321,148
2017,CC321,424
2017,CC321,2
2017,CC321,C
2017,CC321,2446
2017,CC321,C
2017,CC321,440
2017,CC321,442
2017,CC321,42
2017,CC321,3506
2017,CC321,1677
2017,CC321,C
2017,CC321,107
2017,CC321,C
2017,CC321,C
2017,CC321,3506
2017,CC321,2376
2017,CC321,768
2017,CC321,362
2017,CC321,652900
2017,CC321,8600
2017,CC321,218
2017,CC321,161
2017,CC321,C
2017,CC321,2
2017,CC321,1
2017,CC321,68
2017,CC32,3214
2017,CC32,C
2017,CC32,3009
2017,CC32,2
2017,CC32,0
2017,CC32,C
2017,CC32,3174
2017,CC32,13
2017,CC32,9
2017,CC32,148
2017,CC32,424
2017,CC32,2
2017,CC32,C
2017,CC32,2446
2017,CC32,C
2017,CC32,440
2017,CC32,442
2017,CC32,42
2017,CC32,3506
2017,CC32,1677
2017,CC32,C
2017,CC32,107
2017,CC32,C
2017,CC32,C
2017,CC32,3506
2017,CC32,2376
2017,CC32,768
2017,CC32,362
2017,CC32,652900
2017,CC32,8600
2017,CC32,218
2017,CC32,161
2017,CC32,C
2017,CC32,2
2017,CC32,1
2017,CC32,68
2017,CC411,1627
2017,CC411,98
2017,CC411,1524
2017,CC411,2
2017,CC411,0
2017,CC411,2
2017,CC411,1489
2017,CC411,14
2017,CC411,8
2017,CC411,63
2017,CC411,443
2017,CC411,1
2017,CC411,59
2017,CC411,893
2017,CC411,8
2017,CC411,118
2017,CC411,119
2017,CC411,140
2017,CC411,953
2017,CC411,473
2017,CC411,337
2017,CC411,64
2017,CC411,16
2017,CC411,143
2017,CC411,953
2017,CC411,272
2017,CC411,394
2017,CC411,286
2017,CC411,210900
2017,CC411,18100
2017,CC411,120
2017,CC411,90
2017,CC411,40
2017,CC411,51
2017,CC411,15
2017,CC411,29
2017,CC41,1627
2017,CC41,98
2017,CC41,1524
2017,CC41,2
2017,CC41,0
2017,CC41,2
2017,CC41,1489
2017,CC41,14
2017,CC41,8
2017,CC41,63
2017,CC41,443
2017,CC41,1
2017,CC41,59
2017,CC41,893
2017,CC41,8
2017,CC41,118
2017,CC41,119
2017,CC41,140
2017,CC41,953
2017,CC41,473
2017,CC41,337
2017,CC41,64
2017,CC41,16
2017,CC41,143
2017,CC41,953
2017,CC41,272
2017,CC41,394
2017,CC41,286
2017,CC41,210900
2017,CC41,18100
2017,CC41,120
2017,CC41,90
2017,CC41,40
2017,CC41,51
2017,CC41,15
2017,CC41,29
2017,CC511,10123
2017,CC511,2928
2017,CC511,7104
2017,CC511,56
2017,CC511,0
2017,CC511,36
2017,CC511,9751
2017,CC511,125
2017,CC511,2151
2017,CC511,226
2017,CC511,230
2017,CC511,C
2017,CC511,2313
2017,CC511,4686
2017,CC511,20
2017,CC511,727
2017,CC511,1161
2017,CC511,805
2017,CC511,6705
2017,CC511,2975
2017,CC511,C
2017,CC511,648
2017,CC511,C
2017,CC511,C
2017,CC511,6705
2017,CC511,2788
2017,CC511,1597
2017,CC511,2321
2017,CC511,7362900
2017,CC511,585600
2017,CC511,186
2017,CC511,114
2017,CC511,21
2017,CC511,29
2017,CC511,12
2017,CC511,42
2017,CC51,10123
2017,CC51,2928
2017,CC51,7104
2017,CC51,56
2017,CC51,0
2017,CC51,36
2017,CC51,9751
2017,CC51,125
2017,CC51,2151
2017,CC51,226
2017,CC51,230
2017,CC51,C
2017,CC51,2313
2017,CC51,4686
2017,CC51,20
2017,CC51,727
2017,CC51,1161
2017,CC51,805
2017,CC51,6705
2017,CC51,2975
2017,CC51,C
2017,CC51,648
2017,CC51,C
2017,CC51,C
2017,CC51,6705
2017,CC51,2788
2017,CC51,1597
2017,CC51,2321
2017,CC51,7362900
2017,CC51,585600
2017,CC51,186
2017,CC51,114
2017,CC51,21
2017,CC51,29
2017,CC51,12
2017,CC51,42
2017,CC521,1807
2017,CC521,1783
2017,CC521,C
2017,CC521,C
2017,CC521,C
2017,CC521,1648
2017,CC521,47
2017,CC521,6
2017,CC521,98
2017,CC521,166
2017,CC521,C
2017,CC521,1313
2017,CC521,18
2017,CC521,154
2017,CC521,160
2017,CC521,164
2017,CC521,2142
2017,CC521,C
2017,CC521,755
2017,CC521,96
2017,CC521,29
2017,CC521,C
2017,CC521,2142
2017,CC521,825
2017,CC521,330
2017,CC521,987
2017,CC521,1034800
2017,CC521,93900
2017,CC521,C
2017,CC521,C
2017,CC521,20
2017,CC521,8
2017,CC521,39
2017,CC522,1705
2017,CC522,1690
2017,CC522,C
2017,CC522,C
2017,CC522,C
2017,CC522,1632
2017,CC522,9
2017,CC522,7
2017,CC522,59
2017,CC522,148
2017,CC522,C
2017,CC522,1398
2017,CC522,12
2017,CC522,323
2017,CC522,309
2017,CC522,59
2017,CC522,1403
2017,CC522,C
2017,CC522,513
2017,CC522,56
2017,CC522,5
2017,CC522,C
2017,CC522,1403
2017,CC522,995
2017,CC522,318
2017,CC522,89
2017,CC522,994200
2017,CC522,34400
2017,CC522,C
2017,CC522,C
2017,CC522,6
2017,CC522,4
2017,CC522,71
2017,CC523,1735
2017,CC523,416
2017,CC523,1294
2017,CC523,19
2017,CC523,3
2017,CC523,4
2017,CC523,1618
2017,CC523,22
2017,CC523,10
2017,CC523,33
2017,CC523,294
2017,CC523,1
2017,CC523,266
2017,CC523,976
2017,CC523,16
2017,CC523,318
2017,CC523,315
2017,CC523,115
2017,CC523,1673
2017,CC523,948
2017,CC523,316
2017,CC523,62
2017,CC523,23
2017,CC523,410
2017,CC523,1673
2017,CC523,775
2017,CC523,641
2017,CC523,257
2017,CC523,379600
2017,CC523,25100
2017,CC523,148
2017,CC523,99
2017,CC523,36
2017,CC523,15
2017,CC523,7
2017,CC523,46
2017,CC52,5247
2017,CC52,1132
2017,CC52,4051
2017,CC52,37
2017,CC52,10
2017,CC52,16
2017,CC52,4898
2017,CC52,78
2017,CC52,23
2017,CC52,190
2017,CC52,607
2017,CC52,2
2017,CC52,823
2017,CC52,3131
2017,CC52,46
2017,CC52,795
2017,CC52,784
2017,CC52,338
2017,CC52,5218
2017,CC52,2388
2017,CC52,1584
2017,CC52,214
2017,CC52,57
2017,CC52,1245
2017,CC52,5218
2017,CC52,2596
2017,CC52,1288
2017,CC52,1333
2017,CC52,653300
2017,CC52,42000
2017,CC52,185
2017,CC52,125
2017,CC52,27
2017,CC52,13
2017,CC52,6
2017,CC52,50
2017,CC531,3679
2017,CC531,340
2017,CC531,3309
2017,CC531,13
2017,CC531,0
2017,CC531,17
2017,CC531,3355
2017,CC531,36
2017,CC531,15
2017,CC531,112
2017,CC531,758
2017,CC531,1
2017,CC531,199
2017,CC531,2167
2017,CC531,67
2017,CC531,556
2017,CC531,544
2017,CC531,313
2017,CC531,3765
2017,CC531,1538
2017,CC531,868
2017,CC531,190
2017,CC531,20
2017,CC531,1359
2017,CC531,3765
2017,CC531,1632
2017,CC531,1244
2017,CC531,888
2017,CC531,303800
2017,CC531,25800
2017,CC531,124
2017,CC531,80
2017,CC531,41
2017,CC531,19
2017,CC531,8
2017,CC531,43
2017,CC53,3679
2017,CC53,340
2017,CC53,3309
2017,CC53,13
2017,CC53,0
2017,CC53,17
2017,CC53,3355
2017,CC53,36
2017,CC53,15
2017,CC53,112
2017,CC53,758
2017,CC53,1
2017,CC53,199
2017,CC53,2167
2017,CC53,67
2017,CC53,556
2017,CC53,544
2017,CC53,313
2017,CC53,3765
2017,CC53,1538
2017,CC53,868
2017,CC53,190
2017,CC53,20
2017,CC53,1359
2017,CC53,3765
2017,CC53,1632
2017,CC53,1244
2017,CC53,888
2017,CC53,303800
2017,CC53,25800
2017,CC53,124
2017,CC53,80
2017,CC53,41
2017,CC53,19
2017,CC53,8
2017,CC53,43
2017,CC611,3464
2017,CC611,409
2017,CC611,3020
2017,CC611,30
2017,CC611,0
2017,CC611,5
2017,CC611,3090
2017,CC611,38
2017,CC611,18
2017,CC611,117
2017,CC611,550
2017,CC611,1
2017,CC611,358
2017,CC611,2001
2017,CC611,9
2017,CC611,266
2017,CC611,285
2017,CC611,394
2017,CC611,2913
2017,CC611,1175
2017,CC611,1161
2017,CC611,258
2017,CC611,25
2017,CC611,577
2017,CC611,2913
2017,CC611,1477
2017,CC611,925
2017,CC611,511
2017,CC611,377700
2017,CC611,42900
2017,CC611,127
2017,CC611,96
2017,CC611,13
2017,CC611,27
2017,CC611,14
2017,CC611,51
2017,CC61,3464
2017,CC61,409
2017,CC61,3020
2017,CC61,30
2017,CC61,0
2017,CC61,5
2017,CC61,3090
2017,CC61,38
2017,CC61,18
2017,CC61,117
2017,CC61,550
2017,CC61,1
2017,CC61,358
2017,CC61,2001
2017,CC61,9
2017,CC61,266
2017,CC61,285
2017,CC61,394
2017,CC61,2913
2017,CC61,1175
2017,CC61,1161
2017,CC61,258
2017,CC61,25
2017,CC61,577
2017,CC61,2913
2017,CC61,1477
2017,CC61,925
2017,CC61,511
2017,CC61,377700
2017,CC61,42900
2017,CC61,127
2017,CC61,96
2017,CC61,13
2017,CC61,27
2017,CC61,14
2017,CC61,51
2017,CC711,3396
2017,CC711,C
2017,CC711,3147
2017,CC711,C
2017,CC711,C
2017,CC711,C
2017,CC711,3214
2017,CC711,62
2017,CC711,3
2017,CC711,119
2017,CC711,430
2017,CC711,C
2017,CC711,C
2017,CC711,2502
2017,CC711,C
2017,CC711,419
2017,CC711,439
2017,CC711,201
2017,CC711,2729
2017,CC711,1126
2017,CC711,C
2017,CC711,155
2017,CC711,63
2017,CC711,C
2017,CC711,2729
2017,CC711,589
2017,CC711,1440
2017,CC711,700
2017,CC711,704400
2017,CC711,41700
2017,CC711,78
2017,CC711,48
2017,CC711,C
2017,CC711,34
2017,CC711,7
2017,CC711,22
2017,CC71,3396
2017,CC71,C
2017,CC71,3147
2017,CC71,C
2017,CC71,C
2017,CC71,C
2017,CC71,3214
2017,CC71,62
2017,CC71,3
2017,CC71,119
2017,CC71,430
2017,CC71,C
2017,CC71,C
2017,CC71,2502
2017,CC71,C
2017,CC71,419
2017,CC71,439
2017,CC71,201
2017,CC71,2729
2017,CC71,1126
2017,CC71,C
2017,CC71,155
2017,CC71,63
2017,CC71,C
2017,CC71,2729
2017,CC71,589
2017,CC71,1440
2017,CC71,700
2017,CC71,704400
2017,CC71,41700
2017,CC71,78
2017,CC71,48
2017,CC71,C
2017,CC71,34
2017,CC71,7
2017,CC71,22
2017,CC721,6232
2017,CC721,334
2017,CC721,5872
2017,CC721,17
2017,CC721,1
2017,CC721,9
2017,CC721,5675
2017,CC721,44
2017,CC721,16
2017,CC721,110
2017,CC721,1414
2017,CC721,2
2017,CC721,227
2017,CC721,3835
2017,CC721,28
2017,CC721,553
2017,CC721,569
2017,CC721,573
2017,CC721,3819
2017,CC721,2235
2017,CC721,875
2017,CC721,169
2017,CC721,58
2017,CC721,709
2017,CC721,3819
2017,CC721,1763
2017,CC721,1392
2017,CC721,664
2017,CC721,257600
2017,CC721,23700
2017,CC721,161
2017,CC721,120
2017,CC721,32
2017,CC721,33
2017,CC721,15
2017,CC721,46
2017,CC72,6232
2017,CC72,334
2017,CC72,5872
2017,CC72,17
2017,CC72,1
2017,CC72,9
2017,CC72,5675
2017,CC72,44
2017,CC72,16
2017,CC72,110
2017,CC72,1414
2017,CC72,2
2017,CC72,227
2017,CC72,3835
2017,CC72,28
2017,CC72,553
2017,CC72,569
2017,CC72,573
2017,CC72,3819
2017,CC72,2235
2017,CC72,875
2017,CC72,169
2017,CC72,58
2017,CC72,709
2017,CC72,3819
2017,CC72,1763
2017,CC72,1392
2017,CC72,664
2017,CC72,257600
2017,CC72,23700
2017,CC72,161
2017,CC72,120
2017,CC72,32
2017,CC72,33
2017,CC72,15
2017,CC72,46
2017,CC811,3234
2017,CC811,40
2017,CC811,3178
2017,CC811,3
2017,CC811,3
2017,CC811,11
2017,CC811,3025
2017,CC811,12
2017,CC811,9
2017,CC811,61
2017,CC811,779
2017,CC811,2
2017,CC811,32
2017,CC811,2092
2017,CC811,39
2017,CC811,412
2017,CC811,447
2017,CC811,245
2017,CC811,2265
2017,CC811,1419
2017,CC811,597
2017,CC811,108
2017,CC811,15
2017,CC811,248
2017,CC811,2265
2017,CC811,1032
2017,CC811,864
2017,CC811,369
2017,CC811,276700
2017,CC811,21000
2017,CC811,164
2017,CC811,113
2017,CC811,19
2017,CC811,24
2017,CC811,11
2017,CC811,46
2017,CC81,3234
2017,CC81,40
2017,CC81,3178
2017,CC81,3
2017,CC81,3
2017,CC81,11
2017,CC81,3025
2017,CC81,12
2017,CC81,9
2017,CC81,61
2017,CC81,779
2017,CC81,2
2017,CC81,32
2017,CC81,2092
2017,CC81,39
2017,CC81,412
2017,CC81,447
2017,CC81,245
2017,CC81,2265
2017,CC81,1419
2017,CC81,597
2017,CC81,108
2017,CC81,15
2017,CC81,248
2017,CC81,2265
2017,CC81,1032
2017,CC81,864
2017,CC81,369
2017,CC81,276700
2017,CC81,21000
2017,CC81,164
2017,CC81,113
2017,CC81,19
2017,CC81,24
2017,CC81,11
2017,CC81,46
2017,CC821,3829
2017,CC821,266
2017,CC821,3511
2017,CC821,21
2017,CC821,C
2017,CC821,C
2017,CC821,3571
2017,CC821,33
2017,CC821,9
2017,CC821,96
2017,CC821,831
2017,CC821,C
2017,CC821,174
2017,CC821,2392
2017,CC821,36
2017,CC821,450
2017,CC821,457
2017,CC821,265
2017,CC821,3685
2017,CC821,1659
2017,CC821,401
2017,CC821,150
2017,CC821,32
2017,CC821,1625
2017,CC821,3685
2017,CC821,1281
2017,CC821,1499
2017,CC821,904
2017,CC821,330400
2017,CC821,22900
2017,CC821,111
2017,CC821,80
2017,CC821,34
2017,CC821,21
2017,CC821,7
2017,CC821,35
2017,CC822,4153
2017,CC822,525
2017,CC822,3571
2017,CC822,16
2017,CC822,7
2017,CC822,34
2017,CC822,3797
2017,CC822,31
2017,CC822,11
2017,CC822,84
2017,CC822,1035
2017,CC822,0
2017,CC822,379
2017,CC822,2222
2017,CC822,36
2017,CC822,499
2017,CC822,497
2017,CC822,355
2017,CC822,2819
2017,CC822,1896
2017,CC822,601
2017,CC822,136
2017,CC822,46
2017,CC822,322
2017,CC822,2819
2017,CC822,1239
2017,CC822,1133
2017,CC822,446
2017,CC822,262800
2017,CC822,22400
2017,CC822,167
2017,CC822,123
2017,CC822,28
2017,CC822,29
2017,CC822,13
2017,CC822,44
2017,CC82,7983
2017,CC82,791
2017,CC82,7082
