Industry_code_NZSIOC,Value
CC15,C
CC15,2752
CC15,C
CC15,1144
CC15,1283
CC15,110
CC15,7039
CC15,2479
CC15,2872
CC15,451
CC15,160
CC15,1689
CC15,7039
CC15,3468
CC15,1580
CC15,1992
CC15,590200
CC15,12600
CC15,157
CC15,76
CC15,C
CC15,3
CC15,2
CC15,49
CC211,1939
CC211,137
CC211,1712
CC211,C
CC211,1
CC211,C
CC211,1822
CC211,22
CC211,4
CC211,33
CC211,270
CC211,1
CC211,106
CC211,1371
CC211,16
CC211,307
CC211,317
CC211,126
CC211,1254
CC211,703
CC211,317
CC211,50
CC211,11
CC211,233
CC211,1254
CC211,504
CC211,485
CC211,265
CC211,333300
CC211,21700
CC211,145
CC211,80
CC211,22
CC211,25
CC211,10
CC211,40
CC212,476
CC212,56
CC212,416
CC212,1
CC212,1
CC212,2
CC212,468
CC212,7
CC212,2
CC212,10
CC212,154
CC212,0
CC212,40
CC212,254
CC212,1
CC212,122
CC212,119
CC212,4
CC212,301
CC212,220
CC212,61
CC212,11
CC212,4
CC212,20
CC212,301
CC212,126
CC212,121
CC212,53
CC212,120300
CC212,1000
CC212,181
CC212,84
CC212,28
CC212,3
CC212,1
CC212,42
CC21,2414
CC21,192
CC21,2128
CC21,C
CC21,2
CC21,C
CC21,2290
CC21,29
CC21,6
CC21,43
CC21,424
CC21,1
CC21,146
CC21,1625
CC21,17
CC21,429
CC21,436
CC21,130
CC21,1554
CC21,924
CC21,377
CC21,61
CC21,15
CC21,253
CC21,1554
CC21,630
CC21,606
CC21,317
CC21,247100
CC21,13300
CC21,152
CC21,80
CC21,24
CC21,21
CC21,8
CC21,41
CC311,4495
CC311,234
CC311,4216
CC311,8
CC311,1
CC311,35
CC311,4426
CC311,61
CC311,12
CC311,147
CC311,803
CC311,1
CC311,166
CC311,3202
CC311,36
CC311,527
CC311,558
CC311,100
CC311,4163
CC311,1346
CC311,1406
CC311,187
CC311,73
CC311,1411
CC311,4163
CC311,1926
CC311,1016
CC311,1221
CC311,281700
CC311,6300
CC311,133
CC311,78
CC311,29
CC311,5
CC311,2
CC311,46
CC31,4495
CC31,234
CC31,4216
CC31,8
CC31,1
CC31,35
CC31,4426
CC31,61
CC31,12
CC31,147
CC31,803
CC31,1
CC31,166
CC31,3202
CC31,36
CC31,527
CC31,558
CC31,100
CC31,4163
CC31,1346
CC31,1406
CC31,187
CC31,73
CC31,1411
CC31,4163
CC31,1926
CC31,1016
CC31,1221
CC31,281700
CC31,6300
CC31,133
CC31,78
CC31,29
CC31,5
CC31,2
CC31,46
CC321,3260
CC321,C
CC321,2854
CC321,4
CC321,0
CC321,C
CC321,3423
CC321,34
CC321,10
CC321,154
CC321,418
CC321,C
CC321,C
CC321,2361
CC321,C
CC321,491
CC321,425
CC321,-229
CC321,2579
CC321,1040
CC321,1110
CC321,190
CC321,85
CC321,429
CC321,2579
CC321,1341
CC321,580
CC321,658
CC321,633400
CC321,-44500
CC321,179
CC321,106
CC321,C
CC321,-17
CC321,-9
CC321,52
CC32,3260
CC32,C
CC32,2854
CC32,4
CC32,0
CC32,C
CC32,3423
CC32,34
CC32,10
CC32,154
CC32,418
CC32,C
CC32,C
CC32,2361
CC32,C
CC32,491
CC32,425
CC32,-229
CC32,2579
CC32,1040
CC32,1110
CC32,190
CC32,85
CC32,429
CC32,2579
CC32,1341
CC32,580
CC32,658
CC32,633400
CC32,-44500
CC32,179
CC32,106
CC32,C
CC32,-17
CC32,-9
CC32,52
CC411,1702
CC411,107
CC411,1575
CC411,4
CC411,0
CC411,16
CC411,1722
CC411,34
CC411,7
CC411,70
CC411,440
CC411,1
CC411,104
CC411,921
CC411,147
CC411,102
CC411,103
CC411,-19
CC411,1281
CC411,516
CC411,441
CC411,84
CC411,29
CC411,324
CC411,1281
CC411,366
CC411,549
CC411,366
CC411,201400
CC411,-2200
CC411,94
CC411,75
CC411,3
CC411,-5
CC411,-1
CC411,29
CC41,1702
CC41,107
CC41,1575
CC41,4
CC41,0
CC41,16
CC41,1722
CC41,34
CC41,7
CC41,70
CC41,440
CC41,1
CC41,104
CC41,921
CC41,147
CC41,102
CC41,103
CC41,-19
CC41,1281
CC41,516
CC41,441
CC41,84
CC41,29
CC41,324
CC41,1281
CC41,366
CC41,549
CC41,366
CC41,201400
CC41,-2200
CC41,94
CC41,75
CC41,3
CC41,-5
CC41,-1
CC41,29
CC511,12248
CC511,3887
CC511,8165
CC511,118
CC511,C
CC511,C
CC511,11604
CC511,61
CC511,1886
CC511,149
CC511,181
CC511,3
CC511,3339
CC511,5954
CC511,34
CC511,1617
CC511,1509
CC511,536
CC511,6011
CC511,3953
CC511,1675
CC511,228
CC511,C
CC511,383
CC511,6011
CC511,2527
CC511,2378
CC511,1107
CC511,8577800
CC511,375500
CC511,166
CC511,103
CC511,14
CC511,21
CC511,9
CC511,42
CC51,12248
CC51,3887
CC51,8165
CC51,118
CC51,C
CC51,C
CC51,11604
CC51,61
CC51,1886
CC51,149
CC51,181
CC51,3
CC51,3339
CC51,5954
CC51,34
CC51,1617
CC51,1509
CC51,536
CC51,6011
CC51,3953
CC51,1675
CC51,228
CC51,C
CC51,383
CC51,6011
CC51,2527
CC51,2378
CC51,1107
CC51,8577800
CC51,375500
CC51,166
CC51,103
CC51,14
CC51,21
CC51,9
CC51,42
CC521,1362
CC521,C
CC521,C
CC521,0
CC521,C
CC521,1254
CC521,C
CC521,4
CC521,49
CC521,133
CC521,C
CC521,C
CC521,C
CC521,126
CC521,133
CC521,115
CC521,1511
CC521,C
CC521,493
CC521,242
CC521,C
CC521,C
CC521,1511
CC521,1074
CC521,319
CC521,119
CC521,907600
CC521,76800
CC521,C
CC521,C
CC521,11
CC521,8
CC521,71
CC522,2037
CC522,C
CC522,C
CC522,C
CC522,C
CC522,1860
CC522,C
CC522,5
CC522,60
CC522,135
CC522,0
CC522,C
CC522,C
CC522,424
CC522,362
CC522,116
CC522,1500
CC522,C
CC522,456
CC522,60
CC522,C
CC522,C
CC522,1500
CC522,951
CC522,383
CC522,167
CC522,1217700
CC522,69100
CC522,C
CC522,C
CC522,12
CC522,8
CC522,63
CC523,1495
CC523,415
CC523,1067
CC523,5
CC523,C
CC523,C
CC523,1402
CC523,17
CC523,5
CC523,40
CC523,244
CC523,C
CC523,272
CC523,799
CC523,25
CC523,245
CC523,261
CC523,109
CC523,1247
CC523,730
CC523,281
CC523,50
CC523,13
CC523,236
CC523,1247
CC523,619
CC523,382
CC523,246
CC523,374300
CC523,27200
CC523,191
CC523,123
CC523,34
CC523,18
CC523,9
CC523,50
CC52,4894
CC52,972
CC52,3790
CC52,89
CC52,5
CC52,37
CC52,4517
CC52,59
CC52,14
CC52,149
CC52,511
CC52,5
CC52,692
CC52,3046
CC52,45
CC52,795
CC52,757
CC52,339
CC52,4258
CC52,2032
CC52,1230
CC52,352
CC52,112
CC52,997
CC52,4258
CC52,2643
CC52,1084
CC52,532
CC52,682800
CC52,47400
CC52,188
CC52,118
CC52,29
CC52,13
CC52,8
CC52,62
CC531,3650
CC531,314
CC531,3300
CC531,18
CC531,0
CC531,18
CC531,3324
CC531,33
CC531,17
CC531,110
CC531,700
CC531,1
CC531,185
CC531,2238
CC531,41
CC531,509
CC531,533
CC531,350
CC531,2945
CC531,1428
CC531,803
CC531,181
CC531,29
CC531,714
CC531,2945
CC531,1480
CC531,1044
CC531,421
CC531,295700
CC531,28300
CC531,137
CC531,86
CC531,41
CC531,24
CC531,12
CC531,50
CC53,3650
CC53,314
CC53,3300
CC53,18
CC53,0
CC53,18
CC53,3324
CC53,33
CC53,17
CC53,110
CC53,700
CC53,1
CC53,185
CC53,2238
CC53,41
CC53,509
CC53,533
CC53,350
CC53,2945
CC53,1428
CC53,803
CC53,181
CC53,29
CC53,714
CC53,2945
CC53,1480
CC53,1044
CC53,421
CC53,295700
CC53,28300
CC53,137
CC53,86
CC53,41
CC53,24
CC53,12
CC53,50
CC611,2732
CC611,C
CC611,2354
CC611,52
CC611,0
CC611,C
CC611,2508
CC611,41
CC611,19
CC611,119
CC611,479
CC611,2
CC611,255
CC611,1566
CC611,29
CC611,270
CC611,276
CC611,231
CC611,2672
CC611,932
CC611,1144
CC611,158
CC611,C
CC611,596
CC611,2672
CC611,1350
CC611,805
CC611,517
CC611,345900
CC611,29200
CC611,116
CC611,81
CC611,C
CC611,17
CC611,9
CC611,51
CC61,2732
CC61,C
CC61,2354
CC61,52
CC61,0
CC61,C
CC61,2508
CC61,41
CC61,19
CC61,119
CC61,479
CC61,2
CC61,255
CC61,1566
CC61,29
CC61,270
CC61,276
CC61,231
CC61,2672
CC61,932
CC61,1144
CC61,158
CC61,C
CC61,596
CC61,2672
CC61,1350
CC61,805
CC61,517
CC61,345900
CC61,29200
CC61,116
CC61,81
CC61,C
CC61,17
CC61,9
CC61,51
CC711,3584
CC711,54
CC711,3470
CC711,C
CC711,C
CC711,C
CC711,4231
CC711,33
CC711,4
CC711,112
CC711,428
CC711,C
CC711,C
CC711,3000
CC711,C
CC711,474
CC711,477
CC711,-644
CC711,2940
CC711,1565
CC711,1140
CC711,167
CC711,75
CC711,236
CC711,2940
CC711,1300
CC711,995
CC711,645
CC711,730500
CC711,-131300
CC711,157
CC711,109
CC711,C
CC711,-50
CC711,-22
CC711,44
CC71,3584
CC71,54
CC71,3470
CC71,C
CC71,C
CC71,C
CC71,4231
CC71,33
CC71,4
CC71,112
CC71,428
CC71,C
CC71,C
CC71,3000
CC71,C
CC71,474
CC71,477
CC71,-644
CC71,2940
CC71,1565
CC71,1140
CC71,167
CC71,75
CC71,236
CC71,2940
CC71,1300
CC71,995
CC71,645
CC71,730500
CC71,-131300
CC71,157
CC71,109
CC71,C
CC71,-50
CC71,-22
CC71,44
CC721,5051
CC721,255
CC721,4768
CC721,15
CC721,1
CC721,12
CC721,4679
CC721,59
CC721,14
CC721,104
CC721,1091
CC721,1
CC721,174
CC721,3183
CC721,54
CC721,498
CC721,500
CC721,374
CC721,3378
CC721,1889
CC721,822
CC721,165
CC721,70
CC721,667
CC721,3378
CC721,1454
CC721,1370
CC721,554
CC721,236300
CC721,17500
CC721,138
CC721,101
CC721,32
CC721,26
CC721,11
CC721,43
CC72,5051
CC72,255
CC72,4768
CC72,15
CC72,1
CC72,12
CC72,4679
CC72,59
CC72,14
CC72,104
CC72,1091
CC72,1
CC72,174
CC72,3183
CC72,54
CC72,498
CC72,500
CC72,374
CC72,3378
CC72,1889
CC72,822
CC72,165
CC72,70
CC72,667
CC72,3378
CC72,1454
CC72,1370
CC72,554
CC72,236300
CC72,17500
CC72,138
CC72,101
CC72,32
CC72,26
CC72,11
CC72,43
CC811,2626
CC811,38
CC811,2557
CC811,5
CC811,1
CC811,26
CC811,2577
CC811,11
CC811,4
CC811,62
CC811,750
CC811,C
CC811,23
CC811,1696
CC811,29
CC811,409
CC811,365
CC811,6
CC811,1816
CC811,1162
CC811,466
CC811,81
CC811,16
CC811,188
CC811,1816
CC811,826
CC811,779
CC811,211
CC811,244700
CC811,500
CC811,149
CC811,102
CC811,38
CC811,1
CC811,0
CC811,45
CC81,2626
CC81,38
CC81,2557
CC81,5
CC81,1
CC81,26
CC81,2577
CC81,11
CC81,4
CC81,62
CC81,750
CC81,C
CC81,23
CC81,1696
CC81,29
CC81,409
CC81,365
CC81,6
CC81,1816
CC81,1162
CC81,466
CC81,81
CC81,16
CC81,188
CC81,1816
CC81,826
CC81,779
CC81,211
CC81,244700
CC81,500
CC81,149
CC81,102
CC81,38
CC81,1
CC81,0
CC81,45
CC821,3315
CC821,266
CC821,2931
CC821,26
CC821,19
CC821,71
CC821,3153
CC821,60
CC821,9
CC821,81
CC821,708
CC821,3
CC821,161
CC821,2097
CC821,36
CC821,433
CC821,431
CC821,160
CC821,3452
CC821,1602
CC821,340
CC821,106
CC821,41
CC821,1510
CC821,3452
CC821,1167
CC821,1462
CC821,823
CC821,292900
CC821,14100
CC821,110
CC821,80
CC821,39
CC821,14
CC821,5
CC821,34
CC822,3656
CC822,391
CC822,3189
CC822,43
CC822,8
CC822,24
CC822,3377
CC822,36
CC822,9
CC822,72
CC822,908
CC822,1
CC822,281
CC822,2012
CC822,59
CC822,449
CC822,469
CC822,298
CC822,2401
CC822,1483
CC822,516
CC822,123
CC822,53
CC822,402
CC822,2401
CC822,919
CC822,1075
CC822,407
CC822,242800
CC822,19800
CC822,138
CC822,94
CC822,28
CC822,32
CC822,12
CC822,38
CC82,6970
CC82,657
CC82,6121
CC82,70
CC82,28
CC82,95
CC82,6530
CC82,96
CC82,19
CC82,153
CC82,1615
CC82,4
CC82,442
CC82,4110
CC82,95
CC82,882
CC82,899
CC82,458
CC82,5853
CC82,3086
CC82,856
CC82,230
CC82,94
CC82,1912
CC82,5853
CC82,2086
CC82,2537
CC82,1230
CC82,264300
CC82,17400
CC82,122
CC82,86
CC82,33
CC82,22
CC82,8
CC82,36
CC911,1025
CC911,80
CC911,940
CC911,2
CC911,0
CC911,3
CC911,972
CC911,16
CC911,4
CC911,21
CC911,264
CC911,1
CC911,61
CC911,600
CC911,5
CC911,98
CC911,99
CC911,55
CC911,621
CC911,306
CC911,153
CC911,29
CC911,18
CC911,162
CC911,621
CC911,153
CC911,327
CC911,140
CC911,191600
CC911,10200
CC911,94
CC911,63
CC911,24
CC911,36
CC911,9
CC911,25
CC912,550
CC912,52
CC912,493
CC912,1
CC912,1
CC912,3
CC912,497
CC912,7
CC912,2
CC912,10
CC912,120
CC912,0
CC912,35
CC912,321
CC912,2
CC912,105
CC912,105
CC912,54
CC912,342
CC912,223
CC912,74
CC912,22
CC912,8
CC912,45
CC912,342
CC912,130
CC912,137
CC912,74
CC912,214800
CC912,21100
CC912,163
CC912,86
CC912,33
CC912,42
CC912,16
CC912,38
CC91,1576
CC91,132
CC91,1433
CC91,4
CC91,1
CC91,6
CC91,1469
CC91,23
CC91,6
CC91,31
CC91,384
CC91,1
CC91,96
CC91,921
CC91,8
CC91,202
CC91,204
CC91,109
CC91,962
CC91,529
CC91,227
CC91,50
CC91,26
CC91,207
CC91,962
CC91,284
CC91,464
CC91,215
CC91,199100
CC91,13700
CC91,114
CC91,70
CC91,28
CC91,38
CC91,11
CC91,29
CC,96770
CC,10444
CC,84804
CC,677
CC,44
CC,801
CC,93988
CC,1100
CC,3153
CC,2394
CC,12620
CC,60
CC,7612
CC,65072
CC,2038
CC,12071
CC,12367
CC,3078
CC,70554
CC,32192
CC,22923
CC,3924
CC,1355
CC,15438
CC,70554
CC,32352
CC,25996
CC,12206
CC,444500
CC,14100
CC,124
CC,76
CC,27
CC,10
CC,4
CC,46
DD11,16339
DD11,15852
DD11,C
DD11,0
DD11,C
DD11,14085
DD11,926
DD11,39
DD11,1401
DD11,785
DD11,4
DD11,10600
DD11,334
DD11,352
DD11,355
DD11,2258
DD11,C
DD11,5463
DD11,C
DD11,2530
DD11,636
DD11,6088
DD11,C
DD11,C
DD11,7729
DD11,17934
DD11,1770100
DD11,244600
DD11,71
DD11,66
DD11,C
DD11,C
DD11,C
DD12,2075
DD12,1807
DD12,C
DD12,C
DD12,C
DD12,1716
DD12,110
DD12,22
DD12,283
DD12,327
DD12,1
DD12,884
DD12,90
DD12,11
DD12,14
DD12,362
DD12,C
DD12,617
DD12,C
DD12,464
DD12,48
DD12,504
DD12,C
DD12,C
DD12,1002
DD12,2399
DD12,359500
DD12,62700
DD12,62
DD12,60
DD12,C
DD12,C
DD12,C
DD,18414
DD,17659
DD,203
DD,C
DD,C
DD,15801
DD,1036
DD,60
DD,1684
DD,1113
DD,5
DD,11484
DD,424
DD,363
DD,369
DD,2620
DD,62132
DD,6080
DD,49459
DD,2993
DD,684
DD,6592
DD,62132
DD,33069
DD,8731
DD,20332
DD,1227400
DD,174600
DD,70
DD,65
DD,8
DD,4
DD,53
EE112,7337
EE112,7278
EE112,30
EE112,1
EE112,28
EE112,6882
EE112,81
EE112,23
EE112,80
EE112,1077
EE112,0
EE112,5604
EE112,17
EE112,1176
EE112,1191
EE112,470
EE112,4070
EE112,2805
EE112,796
EE112,251
EE112,112
EE112,469
EE112,4070
EE112,970
EE112,2118
EE112,983
EE112,476100
EE112,30500
EE112,132
EE112,76
EE112,49
EE112,12
EE112,24
EE113,5235
EE113,5144
EE113,75
EE113,0
EE113,16
EE113,5058
EE113,32
EE113,9
EE113,29
EE113,624
EE113,0
EE113,4348
EE113,15
EE113,455
EE113,435
EE113,157
EE113,3147
EE113,1624
EE113,369
EE113,119
EE113,63
EE113,1153
EE113,3147
EE113,1385
EE113,1342
EE113,420
EE113,569600
EE113,17100
EE113,121
EE113,89
EE113,11
EE113,5
EE113,44
EE11,12572
EE11,12422
EE11,104
EE11,1
EE11,44
EE11,11940
EE11,114
EE11,32
EE11,109
EE11,1701
EE11,0
EE11,9952
EE11,32
EE11,1631
EE11,1627
EE11,627
EE11,7217
EE11,4429
EE11,1166
EE11,370
EE11,175
EE11,1622
EE11,7217
EE11,2354
EE11,3460
EE11,1403
EE11,511000
EE11,25500
EE11,128
EE11,81
EE11,27
EE11,9
EE11,33
EE121,9747
EE121,9700
EE121,28
EE121,0
EE121,19
EE121,9297
EE121,67
EE121,49
EE121,240
EE121,2121
EE121,5
EE121,6802
EE121,17
EE121,167
EE121,167
EE121,450
EE121,4859
EE121,2631
EE121,1445
EE121,442
EE121,117
EE121,784
EE121,4859
EE121,1862
EE121,2130
EE121,867
EE121,313800
EE121,14500
EE121,124
EE121,116
EE121,24
EE121,9
EE121,38
EE12,9747
EE12,9700
EE12,28
EE12,0
EE12,19
EE12,9297
EE12,67
EE12,49
EE12,240
EE12,2121
EE12,5
EE12,6802
EE12,17
EE12,167
EE12,167
EE12,450
EE12,4859
EE12,2631
EE12,1445
EE12,442
EE12,117
EE12,784
EE12,4859
EE12,1862
EE12,2130
EE12,867
EE12,313800
EE12,14500
EE12,124
EE12,116
EE12,24
EE12,9
EE12,38
EE131,14559
EE131,14418
EE131,70
EE131,0
EE131,70
EE131,13539
EE131,230
EE131,102
EE131,393
EE131,3890
EE131,10
EE131,8700
EE131,224
EE131,1495
EE131,1461
EE131,986
EE131,10239
EE131,5528
EE131,3236
EE131,992
EE131,357
EE131,1475
EE131,10239
EE131,2816
EE131,4420
EE131,3002
EE131,220100
EE131,14900
EE131,125
EE131,92
EE131,35
EE131,10
EE131,28
EE13,14559
EE13,14418
EE13,70
EE13,0
EE13,70
EE13,13539
EE13,230
EE13,102
EE13,393
EE13,3890
EE13,10
EE13,8700
EE13,224
EE13,1495
EE13,1461
EE13,986
EE13,10239
EE13,5528
EE13,3236
EE13,992
EE13,357
EE13,1475
EE13,10239
EE13,2816
EE13,4420
EE13,3002
EE13,220100
EE13,14900
EE13,125
EE13,92
EE13,35
EE13,10
EE13,28
EE,36877
EE,36540
EE,202
EE,2
EE,133
EE,34776
EE,411
EE,183
EE,743
EE,7712
EE,15
EE,25454
EE,273
EE,3292
EE,3255
EE,2063
EE,22315
EE,12588
EE,5847
EE,1804
EE,648
EE,3881
EE,22315
EE,7033
EE,10010
EE,5272
EE,302700
EE,16900
EE,126
EE,93
EE,29
EE,9
EE,32
FF111,17468
FF111,15679
FF111,1666
FF111,50
FF111,1
FF111,72
FF111,17037
FF111,80
FF111,42
FF111,143
FF111,992
FF111,4
FF111,13021
FF111,2664
FF111,95
FF111,1792
FF111,1848
FF111,488
FF111,7550
FF111,5435
FF111,1088
FF111,257
FF111,93
FF111,1027
FF111,7550
FF111,2862
FF111,3342
FF111,1346
FF111,1071000
FF111,29900
FF111,163
FF111,107
FF111,17
FF111,17
FF111,6
FF111,38
FF112,16878
FF112,14012
FF112,2616
FF112,119
FF112,2
FF112,129
FF112,16204
FF112,134
FF112,53
FF112,192
FF112,2111
FF112,10
FF112,11159
FF112,2347
FF112,208
FF112,2357
FF112,2449
FF112,766
FF112,10001
FF112,6596
FF112,841
FF112,360
FF112,130
FF112,2564
FF112,10001
FF112,2862
FF112,5754
FF112,1385
FF112,551400
FF112,25000
FF112,115
FF112,72
FF112,20
FF112,27
FF112,8
FF112,29
FF113,6734
FF113,6459
FF113,222
FF113,32
FF113,0
FF113,21
FF113,6616
FF113,48
FF113,17
FF113,34
FF113,393
FF113,C
FF113,5403
FF113,668
FF113,53
FF113,1272
FF113,1420
FF113,266
FF113,3516
FF113,2921
FF113,280
FF113,69
FF113,34
FF113,316
FF113,3516
FF113,1211
FF113,1921
FF113,384
FF113,1027300
FF113,40600
FF113,152
FF113,78
FF113,16
FF113,22
FF113,8
FF113,34
FF114,28059
FF114,25786
FF114,2039
FF114,85
FF114,0
FF114,150
FF114,27637
FF114,87
FF114,156
FF114,139
FF114,1012
FF114,C
FF114,22854
FF114,3274
FF114,115
FF114,1657
FF114,1716
FF114,482
FF114,7649
FF114,5129
FF114,973
FF114,151
FF114,28
FF114,1547
FF114,7649
FF114,2353
FF114,4093
FF114,1204
FF114,1463600
FF114,25100
FF114,125
FF114,83
FF114,11
FF114,20
FF114,6
FF114,31
FF115,13218
FF115,12278
FF115,778
FF115,76
FF115,5
FF115,81
FF115,12530
FF115,93
FF115,C
FF115,122
FF115,1330
FF115,8
FF115,8365
FF115,2471
FF115,C
FF115,2036
FF115,2098
FF115,751
FF115,8108
FF115,6499
FF115,C
FF115,151
FF115,103
FF115,C
FF115,8108
FF115,3585
FF115,3434
FF115,1089
FF115,584900
FF115,33200
FF115,189
FF115,128
